274250-274421	160253	0-1464690452
274422-274439	972713	1465084010-1465135457
274440-274440	197662	1465155189-1465164511
274441-274441	201519	1465164785-1465174828
274442-274953	338328	1465175107-1465192637
274954-274968	680345	1465638105-1465713263
274969-274969	470510	1465713713-1465737068
274970-274997	380354	1465737173-1465759505
274998-274998	373639	1465791606-1465808335
274999-274999	594686	1465808684-1465837605
275000-275058	798724	1465838133-1465889604
275059-275067	302941	1465923010-1465938034
275068-275072	453077	1465938354-1465959670
275073-275073	248198	1465961566-1465973607
275074-275123	275263	1465973818-1465988900
275124-275124	178387	1466013073-1466020602
275125-275125	477273	1466020820-1466043874
