281613-281638	129716	1474783496-1474821241
281639-281640	109326	1474875967-1474879028
281641-281692	218750	1474882527-1474889917
281693-281706	1937196	1474909074-1474960125
281707-281725	1066052	1474969741-1474992245
281726-281726	251054	1474992931-1474999632
281727-281796	1029786	0-1475037247
281797-281974	1972908	1475064371-1475112176
281975-281975	258178	1475205846-1475210835
281976-282032	1615070	1475210936-1475261428
282033-282036	125354	1475271116-1475273959
282037-282037	1550462	1475274307-1475317712
