276831-276833	974546	1468568895-1468630373
276834-276869	189004	1468633329-1468649865
276870-276934	1257889	1468666960-1468746340
276935-276939	389102	1468798833-1468818095
276940-276947	130212	1468829638-1468839893
276948-276949	196572	1468840185-1468851208
276950-277068	780658	1468851404-1468906254
277069-277069	167806	1468950748-1468957956
277070-277070	465776	1468957957-1468982733
277071-277072	225175	1468982916-1468998161
277073-277086	341226	1468998592-1469025530
277087-277093	232210	1469036960-1469059991
277094-277095	289248	1469073835-1469087430
277096-277111	743773	1469087773-1469136345
277112-277147	453448	1469136573-1469172995
277148-277165	282005	1469183507-1469197849
277166-277167	156981	1469211064-1469219286
277168-277179	744925	1469219705-1469271512
277180-277304	877002	1469281107-1469343949
277305-277419	329303	1469409827-1469425714
277420-277980	129930	1469475906-1469481984
277981-278017	368099	1470052448-1470105960
278018-278166	482983	1470106320-1470133850
278167-278174	790154	1470249555-1470300153
278175-278238	103526	1470300296-1470317516
278239-278239	312972	1470353008-1470368478
278240-278272	479798	1470368813-1470399327
278273-278309	862428	1470418677-1470529511
278310-278314	222791	1470530855-1470547382
278315-278344	331204	1470567431-1470583611
278345-278345	359801	1470615232-1470632631
278346-278365	284225	1470632893-1470651891
278366-278405	149267	1470652606-1470663165
278406-278508	706141	1470676582-1470713800
278509-278768	649995	1470767381-1470801550
278769-278800	426202	1471070360-1471089118
278801-278803	205951	1471099440-1471108575
278804-278807	141999	1471108805-1471115696
278808-278808	697376	1471116317-1471158114
