275658-275658	210072	1466741765-1466749621
275659-275775	240290	1466749897-1466845440
275776-275777	236939	1466845882-1466856521
275778-275781	150883	1466856794-1466863894
275782-275831	376189	1466865887-1466883650
275832-275832	240215	1466961482-1466970023
275833-275833	151200	1466970305-1466976146
275834-275834	168383	1466976360-1466983274
275835-275836	638029	1466983462-1467014046
275837-275846	308415	1467014350-1467031274
275847-275885	754863	1467035961-1467088714
275886-275910	779455	1467103237-1467138536
275911-275911	235144	1467138537-1467173802
275912-275912	166175	1467174081-1467180802
275913-275917	243159	1467181194-1467192243
275918-275919	156203	1467192559-1467200974
275920-275920	222230	1467201399-1467212062
275921-276091	157018	1467212368-1467250694
276092-276241	364786	1467339312-1467354268
276242-276242	868409	1467468346-1467507122
276243-276243	281792	1467507408-1467521605
276244-276281	474708	1467522258-1467550229
276282-276282	500987	1467569733-1467594585
276283-276314	417325	1467594861-1467620144
276315-276317	145535	1467631160-1467638783
276318-276354	237931	1467639052-1467652259
276355-276362	371017	1467668387-1467691171
276363-276383	510661	1467691655-1467726186
276384-276436	307772	1467726433-1467752440
276437-276453	855776	1467773959-1467823531
276454-276457	157020	1467828493-1467840778
276458-276500	170051	1467856820-1467894693
276501-276501	924340	1467895667-1467954950
276502-276524	208434	1467955290-1467972526
276525-276526	982989	1467987323-1468052715
276527-276541	157014	1468053280-1468067622
276542-276542	345584	1468081950-1468100195
276543-276543	350948	1468100379-1468122570
276544-276580	122057	1468122843-1468131705
276581-276581	170378	1468153482-1468161978
276582-276582	348343	1468162347-1468182638
276583-276585	101896	1468182867-1468192000
276586-276586	240810	1468192232-1468210220
276587-276652	270448	1468210422-1468233850
276653-276654	202936	1468282357-1468293513
276655-276658	387638	1468293986-1468319749
276659-276775	557095	1468319952-1468385866
276776-276793	573624	1468386148-1468428638
276794-276806	225215	1468429518-1468450147
276807-276809	454919	1468466675-1468490918
276810-276810	108523	1468491343-1468498013
276811-276811	779104	1468498533-1468558279
