273158-273301	289322	0-1463029161
273302-273402	101972	1463105616-1463195039
273403-273424	101002	1463195125-1463212204
273425-273445	123342	1463224700-1463240323
273446-273447	116939	1463256413-1463267171
273448-273449	142778	1463267510-1463281860
273450-273491	139575	1463282376-1463297458
273492-273501	135173	1463389716-1463406194
273502-273502	209216	1463428823-1463451911
273503-273553	107242	1463452284-1463466224
273554-273554	103672	1463549471-1463557836
273555-273727	699771	1463558149-1463769251
273728-274093	407043	1463770944-1463823202
274094-274160	159014	1464315658-1464452583
274161-274171	169842	1464452776-1464464804
274172-274199	321937	1464482739-1464569226
274200-274239	253702	1464569626-1464585337
274240-274243	518240	1464616771-1464646821
274244-274249	243426	1464647870-1464661693
274250-274250	313246	1464674153-1464690452
274251-274282	225930	1464690652-1464703380
274283-274285	101464	1464751524-1464756984
274286-274314	103912	1464757456-1464794811
274315-274315	227655	1464795151-1464805013
274316-274316	429398	1464805224-1464827568
274317-274335	547652	1464827992-1464880630
274336-274338	320253	1464881101-1464898333
274339-274344	297711	1464898538-1464917556
274345-274387	281573	1464917864-1464989194
274388-274419	830157	1464989556-1465031982
274420-274421	255121	1465071462-1465083634
274422-274439	997685	1465084010-1465135457
274440-274440	206036	1465155189-1465164511
274441-274441	204627	1465164785-1465174828
274442-274953	337417	1465175107-1465192637
274954-274968	680071	1465638105-1465713221
274969-274969	474818	1465713713-1465737068
274970-274997	371741	1465737176-1465759505
274998-274998	371170	1465791606-1465808335
274999-274999	602901	1465808684-1465837605
275000-275058	804996	1465838133-1465889604
275059-275067	303166	1465923010-1465938034
275068-275072	453791	1465938354-1465959670
275073-275073	246109	1465961566-1465973607
275074-275123	274579	1465973818-1465988900
275124-275124	178148	1466013073-1466020602
275125-275281	471519	1466020820-1466043875
275282-275283	118543	1466121974-1466127248
275284-275291	210045	1466127412-1466145783
275292-275308	145580	1466146005-1466153731
275309-275309	272819	1466171319-1466184414
275310-275310	781857	1466184771-1466229724
275311-275318	383714	1466230026-1466259235
275319-275337	290872	1466276205-1466295098
275338-275343	254094	1466295335-1466307457
275344-275344	157532	1466324325-1466330848
275345-275369	187173	1466331130-1466339359
275370-275370	157380	1466353203-1466359803
275371-275374	288065	1466360208-1466373472
275375-275375	636450	1466389030-1466419862
275376-275656	1119489	1466420102-1466492273
275657-275658	272005	1466739151-1466749621
275659-275775	237585	1466749897-1466845440
275776-275777	233917	1466845882-1466856521
275778-275781	149004	1466856794-1466863894
275782-275831	370513	1466865887-1466883650
275832-275832	237000	1466961482-1466970023
275833-275833	149095	1466970305-1466976146
275834-275834	166098	1466976360-1466983274
275835-275836	628483	1466983462-1467014046
275837-275846	302909	1467014350-1467031274
275847-275885	740497	1467035961-1467088714
275886-275910	769066	1467103237-1467138536
275911-275911	232099	1467165013-1467173802
275912-275912	163885	1467174081-1467180802
275913-275917	239649	1467181194-1467192243
275918-275919	154285	1467192559-1467200974
275920-275920	217844	1467201399-1467212062
275921-276091	154448	1467212368-1467250694
276092-276241	360058	1467339312-1467354268
276242-276242	856724	1467468346-1467507122
276243-276243	276637	1467507408-1467521605
276244-276281	468215	1467522258-1467550229
276282-276282	499184	1467569733-1467594585
276283-276314	415284	1467594860-1467620144
276315-276317	145604	1467631160-1467638783
276318-276354	237508	1467639052-1467652259
276355-276362	369911	1467668387-1467691171
276363-276383	508842	1467691655-1467726186
276384-276436	305774	1467726433-1467752440
276437-276453	852429	1467773959-1467823531
276454-276457	155929	1467828493-1467840778
276458-276500	169626	1467856820-1467894693
276501-276501	921663	1467895667-1467954950
276502-276524	207212	1467955290-1467972526
276525-276526	978791	1467987323-1468052715
276527-276541	156362	1468053280-1468067622
276542-276542	346176	1468081950-1468100195
276543-276543	350228	1468100379-1468122570
276544-276580	121457	1468122843-1468131705
276581-276581	170498	1468153482-1468161978
276582-276582	348349	1468162347-1468182638
276583-276585	101780	1468182867-1468192000
276586-276586	239817	1468192232-1468210220
276587-276652	269128	1468210421-1468233850
276653-276654	203061	1468282357-1468293513
276655-276658	386452	1468293986-1468319749
276659-276775	557313	1468319952-1468385866
276776-276793	573219	1468386148-1468428638
276794-276806	223957	1468429518-1468450147
276807-276809	454322	1468466675-1468490918
276810-276810	107774	1468491343-1468498013
276811-276830	773852	1468498533-1468558279
276831-276833	982936	1468568895-1468630373
276834-276869	189854	1468633329-1468649865
276870-276934	1267194	1468666960-1468746340
276935-276939	394018	1468798833-1468818095
276940-276947	131779	1468829638-1468839893
276948-276949	198927	1468840185-1468851208
276950-277068	785785	1468851404-1468906254
277069-277069	170470	1468950748-1468957956
277070-277070	471364	1468958049-1468982733
277071-277072	227022	1468982915-1468998161
277073-277086	343607	1468998592-1469025530
277087-277093	232794	1469036960-1469059991
277094-277095	293927	1469073835-1469087430
277096-277111	752006	1469087773-1469136345
277112-277147	459361	1469136573-1469172995
277148-277165	285526	1469183507-1469197849
277166-277167	158914	1469211064-1469219286
277168-277179	750122	1469219705-1469271512
277180-277304	887866	1469281107-1469343949
277305-277419	334574	1469409827-1469425714
277420-277980	133047	1469475906-1469481984
277981-278017	372753	1470052448-1470105960
278018-278166	488361	1470106320-1470133850
278167-278174	794396	1470249555-1470300153
278175-278238	104376	1470300296-1470317516
278239-278239	316411	1470353008-1470368478
278240-278272	482312	1470368813-1470399327
278273-278309	873726	1470418677-1470529511
278310-278314	225050	1470530855-1470547382
278315-278344	335974	1470567431-1470583611
278345-278345	366498	1470615232-1470632631
278346-278365	288332	1470632893-1470651891
278366-278405	150797	1470652606-1470663165
278406-278508	715996	1470676582-1470713800
278509-278768	659007	1470767381-1470801550
278769-278800	432335	1471070360-1471089118
278801-278803	207691	1471099440-1471108575
278804-278807	143076	1471108805-1471115696
278808-278819	701492	1471116317-1471158114
278820-278821	724938	1471172473-1471207807
278822-278872	496799	1471211566-1471249493
278873-278874	222222	1471303573-1471316241
278875-278922	304652	1471316479-1471335920
278923-278956	245400	1471349804-1471359418
278957-278962	280085	1471383115-1471404036
278963-278974	794009	1471404296-1471450623
278975-278975	306637	1471450996-1471470789
278976-279028	215986	1471471095-1471566528
279029-279079	160561	1471573179-1471625261
279080-279115	251599	1471646600-1471740375
279116-279478	227339	1471743373-1471753805
279479-279652	634100	1472099619-1472186331
279653-279653	113335	1472220350-1472224648
279654-279655	628010	1472224916-1472255181
279656-279666	262467	1472255378-1472278339
279667-279680	530165	1472288933-1472311420
279681-279690	187756	1472335039-1472344102
279691-279714	1049702	1472355690-1472409087
279715-279715	322903	1472421712-1472436169
279716-279759	656885	1472437026-1472475558
279760-279765	385440	1472502114-1472517491
279766-279766	684236	1472519315-1472558635
279767-279793	234267	1472558882-1472576971
279794-279822	558583	1472600486-1472624331
279823-279840	201949	1472637645-1472645447
279841-279843	950204	1472657029-1472704737
279844-279886	138228	1472714489-1472719673
279887-279930	174575	1472772090-1472779487
279931-279965	1174742	1472816280-1472884769
279966-279974	222243	1472894464-1472902885
279975-279992	568667	1472913939-1472938430
279993-280015	357439	1472948639-1472974821
280016-280017	302811	1472974934-1472992905
280018-280019	398074	1472993223-1473023078
280020-280186	118399	1473023713-1473035611
280187-280190	182136	1473107089-1473114314
280191-280193	435406	1473115216-1473136189
280194-280248	443008	1473140179-1473191213
280249-280250	583600	1473191526-1473224907
280251-280326	117148	1473225297-1473233968
280327-280348	502959	1473323016-1473344382
280349-280362	273211	1473344841-1473359363
280363-280363	131479	1473360442-1473368808
280364-280382	411010	1473368996-1473400769
280383-281612	951654	1473410494-1473459429
