273158-273445	115835	0-1463240323
273446-273493	108330	1463256413-1463401485
273494-273724	110413	1463401719-1463562182
273725-273727	144058	1463711869-1463769251
273728-274145	101857	1463770947-1464320903
274146-274171	102091	1464387080-1464464804
274172-274239	139162	1464482740-1464585337
274240-274243	127261	1464616771-1464646821
274244-274250	133141	1464647870-1464690452
274251-274313	100372	1464690652-1464761046
274314-274316	175576	1464793435-1464827568
274317-274335	142334	1464827993-1464880630
274336-274344	155436	1464881101-1464917556
274345-274419	284658	1464917864-1465031982
274420-274439	307305	1465071462-1465135457
274440-274441	102967	1465155190-1465174828
274442-274968	247656	1465175108-1465713263
274969-274969	113407	1465713713-1465736982
274970-274998	184046	1465737176-1465808335
274999-274999	143168	1465808684-1465837605
275000-275058	197453	1465838134-1465889604
275059-275072	185173	1465923011-1465959670
275073-275123	127758	1465961566-1465988900
275124-275281	162240	1466013073-1466043874
275282-275308	118380	1466121974-1466153731
275309-275310	265655	1466171319-1466229724
275311-275336	117014	1466230026-1466279470
275337-275343	114855	1466285163-1466307457
275344-275370	121167	1466324325-1466359803
275371-275375	232375	1466360209-1466419862
275376-275656	284960	1466420102-1466492273
275657-275775	115131	1466739152-1466845438
275776-275831	180403	1466845882-1466883649
275832-275834	126409	1466961482-1466983274
275835-275836	152390	1466983462-1467014046
275837-275885	255230	1467014350-1467088713
275886-275910	183404	1467103237-1467138535
275911-275917	150114	1467165013-1467192243
275918-275930	104215	1467192559-1467216351
275931-276241	105113	1467218061-1467354268
276242-276242	205617	1467468346-1467507122
276243-276281	182481	1467507408-1467550228
276282-276282	132257	1467569733-1467594585
276283-276314	116350	1467594861-1467620144
276315-276354	104114	1467631160-1467652259
276355-276362	102416	1467668387-1467691171
276363-276383	144634	1467691655-1467726186
276384-276453	324403	1467726433-1467823531
276454-276501	361246	1467828494-1467954950
276502-276526	338031	1467955290-1468052715
276527-276542	138423	1468053280-1468100032
276543-276543	100169	1468100379-1468122569
276544-276582	178163	1468122843-1468182638
276583-276652	175387	1468182867-1468233850
276653-276658	166449	1468282357-1468319749
276659-276775	154293	1468319953-1468385828
276776-276793	164553	1468386148-1468428637
276794-276809	183874	1468429518-1468490917
276810-276830	243314	1468491344-1468558279
276831-276833	267813	1468568895-1468630373
276834-276934	396430	1468633329-1468746340
276935-276939	101502	1468798833-1468818095
276940-277068	304588	1468829638-1468906254
277069-277070	165286	1468950749-1468982733
277071-277086	158857	1468982916-1469025530
277087-277095	136718	1469036960-1469087430
277096-277111	208407	1469087773-1469136266
277112-277147	121307	1469136573-1469172994
277148-277167	116445	1469183508-1469219285
277168-277179	209877	1469219705-1469271512
277180-277304	235390	1469281107-1469343949
277305-277980	116467	1469409827-1469481983
277981-278166	210040	1470052448-1470133850
278167-278174	213376	1470249556-1470300153
278175-278239	108393	1470300297-1470368478
278240-278272	134216	1470368813-1470399326
278273-278309	219387	1470418677-1470529511
278310-278344	144265	1470530855-1470583611
278345-278348	102252	1470615232-1470635551
278349-278508	281276	1470638021-1470713800
278509-278768	169476	1470767381-1470801550
278769-278800	109986	1471070360-1471089118
278801-278819	291420	1471099441-1471158114
278820-278821	202488	1471172473-1471207807
278822-278872	142524	1471211566-1471249493
278873-278922	142136	1471303573-1471335919
278923-278962	141353	1471349805-1471404036
278963-278974	221549	1471404296-1471450622
278975-279023	111217	1471450996-1471495984
279024-279115	148897	1471559531-1471740375
279116-279652	231017	1471743373-1472186330
279653-279655	200987	1472220350-1472255181
279656-279680	216813	1472255378-1472311420
279681-279714	340121	1472335039-1472409087
279715-279759	272219	1472421712-1472475558
279760-279765	102916	1472502114-1472517491
279766-279766	194356	1472519315-1472558539
279767-279822	219935	1472558882-1472624330
279823-279843	319496	1472637645-1472704737
279844-279931	420340	1472714490-1472884769
