273158-273445	117932	0-1463240323
273446-273492	100255	1463256413-1463395897
273493-273554	111232	1463396148-1463557836
273555-273727	157772	1463558149-1463769251
273728-274145	103968	1463770947-1464320903
274146-274171	103644	1464387080-1464464804
274172-274239	141382	1464482740-1464585337
274240-274243	129081	1464616771-1464646821
274244-274250	135176	1464647870-1464690452
274251-274313	101700	1464690652-1464761046
274314-274316	177814	1464793435-1464827568
274317-274335	144151	1464827993-1464880630
274336-274344	157881	1464881101-1464917556
274345-274419	288652	1464917864-1465031982
274420-274439	311907	1465071462-1465135457
274440-274441	104421	1465155190-1465174828
274442-274968	250940	1465175108-1465713263
274969-274969	115159	1465713713-1465736982
274970-274998	186565	1465737176-1465808335
274999-274999	145262	1465808684-1465837605
275000-275058	200599	1465838134-1465889604
275059-275072	187465	1465923011-1465959670
275073-275123	129707	1465961566-1465988900
275124-275281	164248	1466013073-1466043874
275282-275308	119863	1466121974-1466153731
275309-275310	269526	1466171319-1466229724
275311-275318	100023	1466230026-1466259235
275319-275343	135200	1466276205-1466307457
275344-275370	122513	1466324325-1466359803
275371-275375	235357	1466360209-1466419862
275376-275656	289341	1466420102-1466492273
275657-275775	116516	1466739152-1466845438
275776-275831	182873	1466845882-1466883649
275832-275834	127856	1466961482-1466983274
275835-275836	154446	1466983462-1467014046
275837-275885	259297	1467014350-1467088713
275886-275910	185598	1467103237-1467138535
275911-275917	151802	1467165013-1467192243
275918-275930	105613	1467192559-1467216351
275931-276241	106322	1467218061-1467354268
276242-276242	208211	1467468346-1467507122
276243-276281	185196	1467507408-1467550228
276282-276282	133500	1467569733-1467594585
276283-276314	117650	1467594861-1467620144
276315-276354	105135	1467631160-1467652259
276355-276362	103412	1467668387-1467691171
276363-276383	146131	1467691655-1467726186
276384-276453	327822	1467726433-1467823531
276454-276501	365029	1467828494-1467954950
276502-276526	341710	1467955290-1468052715
276527-276542	139782	1468053280-1468100032
276543-276543	101164	1468100379-1468122569
276544-276582	179964	1468122843-1468182638
276583-276652	177504	1468182867-1468233850
276653-276658	168207	1468282357-1468319749
276659-276775	155815	1468319953-1468385828
276776-276793	166417	1468386148-1468428637
276794-276809	185912	1468429518-1468490917
276810-276830	246224	1468491344-1468558279
276831-276833	270480	1468568895-1468630373
276834-276934	400398	1468633329-1468746340
276935-276939	102405	1468798833-1468818095
276940-277068	307508	1468829638-1468906254
277069-277070	166696	1468950749-1468982733
277071-277086	160557	1468982916-1469025529
277087-277095	137957	1469036960-1469087430
277096-277111	210298	1469087773-1469136266
277112-277147	122282	1469136573-1469172994
277148-277167	117467	1469183507-1469219285
277168-277179	212006	1469219705-1469271512
277180-277304	237393	1469281107-1469343949
277305-277980	117212	1469409827-1469481983
277981-278166	212131	1470052448-1470133850
278167-278174	215859	1470249556-1470300153
278175-278239	109393	1470300297-1470368478
278240-278272	135847	1470368813-1470399326
278273-278309	221553	1470418677-1470529511
278310-278344	145674	1470530855-1470583611
278345-278348	103205	1470615232-1470635551
278349-278508	284168	1470638021-1470713800
278509-278768	171050	1470767381-1470801550
278769-278800	111012	1471070360-1471089118
278801-278819	294377	1471099441-1471158114
278820-278821	204423	1471172473-1471207807
278822-278872	144209	1471211566-1471249493
278873-278922	143615	1471303573-1471335919
278923-278962	142551	1471349805-1471404036
278963-278974	223569	1471404296-1471450622
278975-279023	112322	1471450996-1471495984
279024-279115	150469	1471559531-1471740375
279116-279652	233321	1471743373-1472186330
279653-279655	202938	1472220350-1472255181
279656-279680	218859	1472255378-1472311420
279681-279714	343460	1472335039-1472409087
279715-279759	275217	1472421712-1472475558
279760-279765	103788	1472502114-1472517491
279766-279766	196435	1472519315-1472558539
279767-279822	221919	1472558882-1472624330
279823-279843	322347	1472637645-1472704737
279844-279931	424231	1472714490-1472884769
