273158-273445	113690	0-1463240323
273446-273493	106865	1463256413-1463401485
273494-273724	108771	1463401719-1463562182
273725-273727	141615	1463711869-1463769251
273728-274158	104672	1463770945-1464388557
274159-274199	138447	1464446626-1464569226
274200-274243	184700	1464569626-1464646821
274244-274250	131648	1464647870-1464690452
274251-274314	107458	1464690652-1464794811
274315-274316	166456	1464795151-1464827568
274317-274335	141486	1464827993-1464880630
274336-274344	153962	1464881101-1464917556
274345-274419	282728	1464917864-1465031982
274420-274439	305230	1465071462-1465135457
274440-274441	102570	1465155190-1465174828
274442-274968	245925	1465175108-1465713263
274969-274969	112168	1465713713-1465736982
274970-274998	182097	1465737176-1465808335
274999-274999	141744	1465808684-1465837605
275000-275058	194969	1465838134-1465889604
275059-275072	184141	1465923010-1465959670
275073-275123	126640	1465961566-1465988900
275124-275281	161485	1466013073-1466043874
275282-275308	117511	1466121974-1466153731
275309-275310	263466	1466171319-1466229724
275311-275336	115931	1466230026-1466279470
275337-275343	114294	1466285163-1466307457
275344-275370	120834	1466324325-1466359803
275371-275375	231314	1466360209-1466419862
275376-275656	283095	1466420102-1466492273
275657-275775	114522	1466739152-1466845438
275776-275831	179100	1466845882-1466883649
275832-275834	125992	1466961482-1466983274
275835-275836	151479	1466983462-1467014046
275837-275885	252709	1467014350-1467088713
275886-275910	182655	1467103237-1467138535
275911-275917	149494	1467165013-1467192243
275918-275930	103511	1467192559-1467216351
275931-276241	104752	1467218061-1467354268
276242-276242	204822	1467468346-1467507122
276243-276281	181317	1467507408-1467550229
276282-276282	132207	1467569733-1467594585
276283-276314	116324	1467594861-1467620144
276315-276354	104069	1467631160-1467652259
276355-276362	102361	1467668387-1467691171
276363-276383	144368	1467691655-1467726186
276384-276453	324012	1467726433-1467823531
276454-276501	360978	1467828494-1467954950
276502-276526	337607	1467955290-1468052715
276527-276542	138331	1468053280-1468100032
276543-276543	100011	1468100379-1468122569
276544-276582	178072	1468122843-1468182638
276583-276652	175225	1468182867-1468233850
276653-276658	166313	1468282357-1468319749
276659-276775	154050	1468319953-1468385828
276776-276793	164382	1468386148-1468428637
276794-276809	183727	1468429518-1468490917
276810-276830	243084	1468491344-1468558279
276831-276833	267584	1468568895-1468630373
276834-276934	395950	1468633329-1468746340
276935-276939	101441	1468798833-1468818095
276940-277068	304297	1468829638-1468906254
277069-277070	165028	1468950749-1468982733
277071-277086	158733	1468982916-1469025530
277087-277095	136496	1469036960-1469087430
277096-277111	208239	1469087773-1469136266
277112-277147	121205	1469136573-1469172994
277148-277167	116422	1469183507-1469219285
277168-277179	209876	1469219705-1469271512
277180-277304	235326	1469281107-1469343949
277305-278016	116434	1469409827-1469481983
278017-278166	192257	1470094034-1470133850
278167-278174	213422	1470249556-1470300153
278175-278239	108353	1470300297-1470368478
278240-278272	134241	1470368813-1470399326
278273-278309	219581	1470418677-1470529511
278310-278344	144285	1470530855-1470583611
278345-278348	102336	1470615232-1470635551
278349-278508	281584	1470638021-1470713800
278509-278768	169574	1470767381-1470801550
278769-278800	110030	1471070360-1471089118
278801-278819	291449	1471099441-1471158114
278820-278821	202505	1471172473-1471207807
278822-278872	142589	1471211566-1471249493
278873-278922	142150	1471303573-1471335919
278923-278962	141380	1471349805-1471404036
278963-278974	221736	1471404296-1471450622
278975-279023	111298	1471450996-1471495984
279024-279115	149017	1471559531-1471740375
279116-279652	231187	1471743373-1472186330
279653-279655	200991	1472220350-1472255181
279656-279759	276755	1472255378-1472475558
279760-279765	102949	1472502114-1472517491
279766-279766	194319	1472519315-1472558539
279767-279822	220088	1472558882-1472624330
279823-279843	319587	1472637645-1472704737
279844-279931	420843	1472714490-1472884769
