275657-275775	115536	0-1466845438
275776-275831	180962	1466845882-1466883649
275832-275834	126799	1466961482-1466983274
275835-275836	152989	1466983462-1467014046
275837-275885	256435	1467014350-1467088713
275886-275910	183996	1467103237-1467138535
275911-275917	150577	1467165013-1467192243
275918-275930	104610	1467192559-1467216351
275931-276241	105497	1467218061-1467354268
276242-276242	206111	1467468346-1467507122
276243-276281	183054	1467507408-1467550228
276282-276282	132549	1467569733-1467594585
276283-276314	116672	1467594861-1467620144
276315-276354	104321	1467631160-1467652259
276355-276362	102659	1467668387-1467691171
276363-276383	144877	1467691655-1467726186
276384-276453	325169	1467726433-1467823531
276454-276501	362032	1467828494-1467954950
276502-276526	338581	1467955290-1468052715
276527-276542	138551	1468053280-1468100032
276543-276543	100306	1468100379-1468122569
276544-276582	178440	1468122843-1468182638
276583-276652	175668	1468182867-1468233850
276653-276658	166674	1468282357-1468319749
276659-276775	154391	1468319953-1468385828
276776-276793	164756	1468386148-1468428637
276794-276809	184157	1468429518-1468490917
276810-276830	243541	1468491344-1468558279
276831-276833	267982	1468568895-1468630373
276834-276934	396623	1468633329-1468746340
276935-276939	101513	1468798833-1468818095
276940-277068	304644	1468829638-1468906254
277069-277070	165306	1468950749-1468982733
277071-277086	158830	1468982916-1469025530
277087-277095	136725	1469036960-1469087430
277096-277111	208294	1469087773-1469136266
277112-277147	121302	1469136573-1469172994
277148-277167	116449	1469183508-1469219285
277168-277179	209963	1469219705-1469271512
277180-277304	235266	1469281107-1469343949
277305-277980	116360	1469409827-1469481983
277981-278166	210128	1470052448-1470133850
278167-278174	213474	1470249556-1470300153
278175-278239	108674	1470300297-1470368478
278240-278272	134737	1470368813-1470399326
278273-278309	220003	1470418677-1470529511
278310-278344	144671	1470530855-1470583611
278345-278348	102547	1470615232-1470635551
278349-278508	281676	1470638021-1470713800
278509-278768	169780	1470767381-1470801550
278769-278800	110184	1471070360-1471089118
278801-278819	291853	1471099441-1471158114
278820-278821	202776	1471172473-1471207807
278822-278872	142804	1471211566-1471249493
278873-278922	142467	1471303573-1471335919
278923-278962	141543	1471349805-1471404036
278963-278974	221943	1471404296-1471450622
278975-279023	111415	1471450996-1471495984
279024-279115	149181	1471559531-1471740375
279116-279588	231437	1471743373-1472186330
