273158-273445	116168	0-1463240323
273446-273493	108620	1463256413-1463401485
273494-273724	110766	1463401719-1463562182
273725-273727	144526	1463711869-1463769251
273728-274145	102217	1463770947-1464320903
274146-274199	145953	1464387080-1464569226
274200-274243	187512	1464569626-1464646821
274244-274250	133467	1464647870-1464690452
274251-274313	100557	1464690652-1464761046
274314-274316	175905	1464793435-1464827568
274317-274335	142649	1464827993-1464880630
274336-274344	155851	1464881101-1464917556
274345-274419	285273	1464917864-1465031982
274420-274439	307992	1465071462-1465135457
274440-274441	103205	1465155190-1465174828
274442-274968	248269	1465175108-1465713263
274969-274969	113706	1465713713-1465736982
274970-274998	184483	1465737176-1465808335
274999-274999	143538	1465808684-1465837605
275000-275058	197933	1465838134-1465889604
275059-275072	185587	1465923011-1465959670
275073-275123	128090	1465961566-1465988900
275124-275281	162627	1466013073-1466043874
275282-275308	118573	1466121974-1466153731
275309-275310	266323	1466171319-1466229724
275311-275336	117369	1466230026-1466279470
275337-275343	115184	1466285163-1466307457
275344-275370	121414	1466324325-1466359803
275371-275375	232969	1466360209-1466419862
275376-275656	285870	1466420102-1466492273
275657-275775	115494	1466739152-1466845438
275776-275831	180797	1466845882-1466883649
275832-275834	126687	1466961482-1466983274
275835-275836	152814	1466983462-1467014046
275837-275885	256163	1467014350-1467088713
275886-275910	183822	1467103237-1467138535
275911-275917	150456	1467165013-1467192243
275918-275930	104432	1467192559-1467216351
275931-276241	105414	1467218061-1467354268
276242-276242	206237	1467468346-1467507122
276243-276281	183126	1467507408-1467550228
276282-276282	132549	1467569733-1467594585
276283-276314	116658	1467594861-1467620144
276315-276354	104300	1467631160-1467652259
276355-276362	102671	1467668387-1467691171
276363-276383	144876	1467691655-1467726186
276384-276453	325162	1467726433-1467823531
276454-276501	362028	1467828494-1467954950
276502-276526	338710	1467955290-1468052715
276527-276542	138617	1468053280-1468100032
276543-276543	100334	1468100379-1468122569
276544-276582	178471	1468122843-1468182638
276583-276652	175720	1468182867-1468233850
276653-276658	166757	1468282357-1468319749
276659-276775	154499	1468319953-1468385828
276776-276793	164784	1468386148-1468428637
276794-276809	184183	1468429518-1468490917
276810-276830	243709	1468491344-1468558279
276831-276833	268109	1468568895-1468630373
276834-276934	396781	1468633329-1468746340
276935-276939	101584	1468798833-1468818095
276940-277068	304774	1468829638-1468906254
277069-277070	165351	1468950749-1468982733
277071-277086	158917	1468982916-1469025530
277087-277095	136763	1469036960-1469087430
277096-277111	208354	1469087773-1469136266
277112-277147	121382	1469136573-1469172994
277148-277167	116509	1469183508-1469219285
277168-277179	210029	1469219705-1469271512
277180-277304	235567	1469281107-1469343949
277305-277980	116502	1469409827-1469481983
277981-278166	210434	1470052448-1470133850
278167-278174	213797	1470249556-1470300153
278175-278239	108727	1470300297-1470368478
278240-278272	134801	1470368813-1470399326
278273-278309	220192	1470418677-1470529511
278310-278344	144815	1470530855-1470583611
278345-278348	102626	1470615232-1470635551
278349-278508	282411	1470638021-1470713800
278509-278768	170037	1470767381-1470801550
278769-278800	110285	1471070360-1471089118
278801-278819	292076	1471099441-1471158114
278820-278821	202899	1471172473-1471207807
278822-278872	142931	1471211566-1471249493
278873-278922	142482	1471303573-1471335919
278923-278962	141615	1471349805-1471404036
278963-278974	222087	1471404296-1471450622
278975-279023	111496	1471450996-1471495984
279024-279115	149261	1471559531-1471740375
279116-279588	231628	1471743373-1472186330
