276831-276833	974546	0-1468630373
276834-276869	189004	1468633329-1468649865
276870-276934	1257889	1468666960-1468746340
276935-276939	389102	1468798833-1468818095
276940-276947	130212	1468829638-1468839893
276948-276949	196572	1468840185-1468851208
276950-277068	780658	1468851404-1468906254
277069-277069	167806	1468950748-1468957956
277070-277070	465776	1468958049-1468982733
277071-277072	225175	1468982916-1468998161
277073-277086	341226	1468998592-1469025530
277087-277093	232210	1469036960-1469059991
277094-277095	289248	1469073835-1469087430
277096-277111	743773	1469087773-1469136345
277112-277147	453448	1469136573-1469172995
277148-277148	282005	1469183507-1469197849
