272760-272810	147876	0-1462680184
272811-273157	209208	1462712171-1462937537
273158-273289	289104	1462999425-1463029161
273290-273301	135035	1463084270-1463105268
273302-273402	102837	1463105616-1463195039
273403-273424	102606	1463195125-1463212223
273425-273425	125069	1463224700-1463240323
273426-273447	124715	1463240690-1463267171
273448-273449	141918	1463267510-1463281860
273450-273491	141653	1463282376-1463297482
273492-273501	135493	1463389716-1463406199
273502-273502	204636	1463428823-1463451911
273503-273522	107815	1463452284-1463466240
273523-273554	104472	1463488089-1463557836
273555-273728	708474	1463558149-1463773235
