273158-273445	116052	0-1463240323
273446-273493	108558	1463256413-1463401485
273494-273724	110656	1463401719-1463562182
273725-273727	144357	1463711869-1463769251
273728-274145	102163	1463770947-1464320903
274146-274199	145852	1464387080-1464569226
274200-274243	187496	1464569626-1464646821
274244-274250	133368	1464647870-1464690452
274251-274313	100520	1464690652-1464761046
274314-274316	175851	1464793435-1464827568
274317-274335	142556	1464827993-1464880630
274336-274344	155754	1464881101-1464917556
274345-274419	285154	1464917864-1465031982
274420-274439	307871	1465071462-1465135457
274440-274441	103134	1465155190-1465174828
274442-274968	248137	1465175108-1465713263
274969-274969	113686	1465713713-1465736982
274970-274998	184453	1465737176-1465808335
274999-274999	143459	1465808684-1465837605
275000-275058	197813	1465838134-1465889604
275059-275072	185520	1465923011-1465959670
275073-275123	128038	1465961566-1465988900
275124-275281	162562	1466013073-1466043874
275282-275308	118585	1466121974-1466153731
275309-275310	266190	1466171319-1466229724
275311-275336	117310	1466230026-1466279470
275337-275343	115121	1466285163-1466307457
275344-275370	121395	1466324325-1466359803
275371-275375	232889	1466360209-1466419862
275376-275656	285682	1466420102-1466492273
275657-275775	115485	1466739152-1466845438
275776-275831	180855	1466845882-1466883649
275832-275834	126692	1466961482-1466983274
275835-275836	152797	1466983462-1467014046
275837-275885	256059	1467014350-1467088713
275886-275910	183832	1467103237-1467138535
275911-275917	150431	1467165013-1467192243
275918-275930	104453	1467192559-1467216351
275931-276241	105409	1467218061-1467354268
276242-276242	206243	1467468346-1467507122
276243-276281	183088	1467507408-1467550228
276282-276282	132587	1467569733-1467594585
276283-276314	116686	1467594861-1467620144
276315-276354	104315	1467631160-1467652259
276355-276362	102718	1467668387-1467691171
276363-276383	144986	1467691655-1467726186
276384-276453	325293	1467726433-1467823531
276454-276501	362224	1467828494-1467954950
276502-276526	338970	1467955290-1468052715
276527-276542	138813	1468053280-1468100032
276543-276543	100433	1468100379-1468122569
276544-276582	178620	1468122843-1468182638
276583-276652	175923	1468182867-1468233850
276653-276658	166899	1468282357-1468319749
276659-276775	154708	1468319953-1468385828
276776-276793	164999	1468386148-1468428637
