273158-273445	116278	0-1463240323
273446-273493	108735	1463256413-1463401485
273494-273724	110870	1463401719-1463562182
273725-273727	144667	1463711869-1463769251
273728-274145	102344	1463770947-1464320903
274146-274199	146080	1464387080-1464569226
274200-274243	187709	1464569626-1464646821
274244-274250	133630	1464647870-1464690452
274251-274313	100652	1464690652-1464761046
274314-274316	176087	1464793435-1464827568
274317-274335	142810	1464827993-1464880630
274336-274344	156032	1464881101-1464917556
274345-274419	285568	1464917864-1465031982
274420-274439	308341	1465071462-1465135457
274440-274441	103313	1465155190-1465174828
274442-274968	248515	1465175108-1465713263
274969-274969	113845	1465713713-1465736982
274970-274998	184696	1465737176-1465808335
274999-274999	143711	1465808684-1465837605
275000-275058	198174	1465838134-1465889604
275059-275072	185794	1465923011-1465959670
275073-275123	128220	1465961566-1465988900
275124-275281	162816	1466013073-1466043874
275282-275308	118709	1466121974-1466153731
275309-275310	266630	1466171319-1466229724
275311-275336	117499	1466230026-1466279470
275337-275343	115307	1466285163-1466307457
275344-275370	121544	1466324325-1466359803
275371-275375	233212	1466360209-1466419862
275376-275656	286181	1466420102-1466492273
275657-275775	115609	1466739152-1466845438
275776-275831	181000	1466845882-1466883649
275832-275834	126809	1466961482-1466983274
275835-275836	152990	1466983462-1467014046
275837-275885	256423	1467014350-1467088713
275886-275910	184028	1467103237-1467138535
275911-275917	150600	1467165013-1467192243
275918-275930	104568	1467192559-1467216351
275931-276241	105512	1467218061-1467354268
276242-276242	206449	1467468346-1467507122
276243-276281	183308	1467507408-1467550228
276282-276282	132716	1467569733-1467594585
276283-276314	116800	1467594861-1467620144
276315-276354	104448	1467631160-1467652259
276355-276362	102800	1467668387-1467691171
276363-276383	145089	1467691655-1467726186
276384-276453	325591	1467726433-1467823531
276454-276501	362513	1467828494-1467954950
276502-276526	339186	1467955290-1468052715
276527-276542	138815	1468053280-1468100032
276543-276543	100465	1468100379-1468122569
276544-276582	178740	1468122843-1468182638
276583-276652	175952	1468182867-1468233850
276653-276658	166963	1468282357-1468319749
276659-276775	154687	1468319953-1468385828
276776-276793	165019	1468386148-1468428637
276794-276809	184450	1468429518-1468490917
276810-276811	244066	1468491344-1468558279
