273158-274093	582076	0-1463823201
274094-274282	541743	1464315659-1464703380
274283-274344	524120	1464751525-1464917556
274345-274439	601340	1464917864-1465135457
274440-274997	566188	1465155190-1465759505
274998-275067	510770	1465791606-1465938034
275068-275292	506812	1465938354-1466148817
275293-275343	528063	1466149046-1466307457
275344-275656	648108	1466324325-1466492273
275657-275836	582510	1466739152-1467014046
275837-275912	538640	1467014350-1467180802
275913-276243	547200	1467181195-1467521605
276244-276362	577756	1467522260-1467691171
276363-276457	520994	1467691655-1467840778
276458-276526	660685	1467856821-1468052715
276527-276586	520211	1468053280-1468210220
276587-276793	568923	1468210422-1468428637
276794-276811	432175	1468429518-1468558279
