273158-273445	114093	0-1463240323
273446-273493	107190	1463256413-1463401485
273494-273724	109097	1463401719-1463562182
273725-273727	142072	1463711869-1463769251
273728-274158	104994	1463770945-1464388557
274159-274199	138780	1464446626-1464569226
274200-274243	185084	1464569626-1464646821
274244-274250	131868	1464647870-1464690452
274251-274314	107649	1464690652-1464794811
274315-274316	166513	1464795151-1464827568
274317-274335	141691	1464827993-1464880630
274336-274344	154159	1464881101-1464917556
274345-274419	282826	1464917864-1465031982
274420-274439	305227	1465071462-1465135457
274440-274441	102624	1465155190-1465174828
274442-274968	245973	1465175108-1465713263
274969-274969	112166	1465713713-1465736982
274970-274998	182108	1465737176-1465808335
274999-274999	141675	1465808684-1465837605
275000-275058	194716	1465838134-1465889604
275059-275072	184237	1465923010-1465959670
275073-275123	126520	1465961566-1465988900
275124-275281	161424	1466013073-1466043874
275282-275308	117578	1466121974-1466153731
275309-275310	263028	1466171319-1466229724
275311-275336	115742	1466230026-1466279470
275337-275343	114242	1466285163-1466307457
275344-275370	120776	1466324325-1466359803
275371-275375	231020	1466360209-1466419862
275376-275656	282519	1466420102-1466492273
275657-275775	114434	1466739152-1466845438
275776-275831	178658	1466845882-1466883649
275832-275834	125868	1466961482-1466983274
275835-275836	151218	1466983462-1467014046
275837-275885	251820	1467014350-1467088713
275886-275910	182313	1467103237-1467138535
275911-275917	149319	1467165013-1467192243
275918-275930	103344	1467192559-1467216351
275931-276241	104618	1467218061-1467354268
276242-276242	204047	1467468346-1467507122
276243-276281	180625	1467507408-1467550229
276282-276282	132221	1467569733-1467594585
276283-276314	116339	1467594861-1467620144
276315-276354	104078	1467631160-1467652259
276355-276362	102281	1467668387-1467691171
276363-276383	144190	1467691655-1467726186
276384-276453	323882	1467726433-1467823531
276454-276501	360848	1467828494-1467954950
276502-276526	337190	1467955290-1468052715
276527-276542	138219	1468053280-1468100032
276543-276543	100002	1468100379-1468122569
276544-276582	177988	1468122843-1468182638
276583-276652	175032	1468182867-1468233850
276653-276658	166164	1468282357-1468319749
276659-276775	153789	1468319953-1468385828
276776-276793	164138	1468386148-1468428637
276794-276809	183552	1468429518-1468490917
276810-276811	242791	1468491344-1468558279
